init_node,term_node,a0,a1
1,547,0.034506800000000004,2.4984488536445204e-20
2,548,0.034506800000000004,2.4984488536445204e-20
3,549,0.034506800000000004,2.4984488536445204e-20
4,550,0.034506800000000004,2.4984488536445204e-20
5,551,0.034506800000000004,2.4984488536445204e-20
6,552,0.034506800000000004,2.4984488536445204e-20
7,553,0.034506800000000004,2.4984488536445204e-20
8,554,0.034506800000000004,2.4984488536445204e-20
9,555,0.034506800000000004,2.4984488536445204e-20
10,556,0.034506800000000004,2.4984488536445204e-20
11,557,0.034506800000000004,2.4984488536445204e-20
12,558,0.034506800000000004,2.4984488536445204e-20
13,559,0.034506800000000004,2.4984488536445204e-20
14,560,0.034506800000000004,2.4984488536445204e-20
15,561,0.034506800000000004,2.4984488536445204e-20
16,562,0.034506800000000004,2.4984488536445204e-20
17,563,0.034506800000000004,2.4984488536445204e-20
18,564,0.034506800000000004,2.4984488536445204e-20
19,565,0.034506800000000004,2.4984488536445204e-20
20,566,0.034506800000000004,2.4984488536445204e-20
21,567,0.034506800000000004,2.4984488536445204e-20
22,568,0.034506800000000004,2.4984488536445204e-20
23,569,0.034506800000000004,2.4984488536445204e-20
24,570,0.034506800000000004,2.4984488536445204e-20
25,571,0.034506800000000004,2.4984488536445204e-20
26,572,0.034506800000000004,2.4984488536445204e-20
27,573,0.034506800000000004,2.4984488536445204e-20
28,574,0.034506800000000004,2.4984488536445204e-20
29,575,0.034506800000000004,2.4984488536445204e-20
30,576,0.034506800000000004,2.4984488536445204e-20
31,577,0.034506800000000004,2.4984488536445204e-20
32,578,0.034506800000000004,2.4984488536445204e-20
33,579,0.034506800000000004,2.4984488536445204e-20
34,580,0.034506800000000004,2.4984488536445204e-20
35,581,0.034506800000000004,2.4984488536445204e-20
36,582,0.034506800000000004,2.4984488536445204e-20
37,583,0.034506800000000004,2.4984488536445204e-20
38,584,0.034506800000000004,2.4984488536445204e-20
39,585,0.034506800000000004,2.4984488536445204e-20
40,586,0.034506800000000004,2.4984488536445204e-20
41,587,0.034506800000000004,2.4984488536445204e-20
42,588,0.034506800000000004,2.4984488536445204e-20
43,589,0.034506800000000004,2.4984488536445204e-20
44,590,0.034506800000000004,2.4984488536445204e-20
45,591,0.034506800000000004,2.4984488536445204e-20
46,592,0.034506800000000004,2.4984488536445204e-20
47,593,0.034506800000000004,2.4984488536445204e-20
48,594,0.034506800000000004,2.4984488536445204e-20
49,595,0.034506800000000004,2.4984488536445204e-20
50,596,0.034506800000000004,2.4984488536445204e-20
51,597,0.034506800000000004,2.4984488536445204e-20
52,598,0.034506800000000004,2.4984488536445204e-20
53,599,0.034506800000000004,2.4984488536445204e-20
54,600,0.034506800000000004,2.4984488536445204e-20
55,601,0.034506800000000004,2.4984488536445204e-20
56,602,0.034506800000000004,2.4984488536445204e-20
57,603,0.034506800000000004,2.4984488536445204e-20
58,604,0.034506800000000004,2.4984488536445204e-20
