init_node,term_node,flow,travel time
1,3,581.6716884984695,0.23897190184285652
1,7,1185.4020615015304,0.22283611214663585
1,9,0.0,0.402046
2,3,1193.292299,0.1600217603918008
3,1,262.19596099999995,0.2402972235325814
3,2,1171.740411,0.15912326012341887
3,6,1076.0786014984699,0.10951641394133665
3,7,134.776233,0.349088135450758
4,6,0.0,0.153312
4,8,0.0,0.089394
5,10,0.0,0.15102
5,11,0.0,0.38247
6,3,1942.0818656748747,0.1078423371846539
6,4,0.0,0.151643
6,8,2998.253217478831,0.04341428767485183
6,13,618.2565416822108,0.283445828222812
6,17,0.0,0.364887
7,1,768.573409,0.21890584439005792
7,3,115.63515532512496,0.3469647302517117
7,9,134.776233,0.10557611946656256
7,13,266.91356250153063,0.08855905488073666
8,4,0.0,0.090973
8,6,2243.5831516822104,0.03877736810005827
8,11,1813.3433174788302,0.08517945783883271
8,16,1184.9098999999999,0.17774851838076178
9,1,0.0,0.403219
9,7,150.89106232512498,0.10462047023119857
9,12,422.756,0.14420397002833446
9,13,299.9763186748751,0.06419106790923673
10,5,0.0,0.148699
10,11,1263.102787682211,0.02628044879563537
10,18,704.3651648597197,0.1511080670915689
10,20,478.8157864788294,0.1668992296057064
11,5,0.0,0.374745
11,8,1263.102787682211,0.08520808811962294
11,10,1813.3433174788302,0.026159353472543365
11,19,0.0,0.375603
12,9,450.867381,0.14364275659190848
13,6,464.22269765523504,0.27957821211464506
13,7,8.548583,0.09274900000001814
13,9,287.979767,0.06520455689200885
13,14,656.4721805211707,0.13567213770228792
13,15,0.0,0.285875
14,13,216.0609953177891,0.12506611755634894
14,17,86.78809,0.10123400068908724
14,22,1123.489087521171,0.15321244337453244
15,13,0.0,0.296532
16,8,980.4803639999996,0.17685878073106417
16,17,795.0127478597194,0.021253796407165786
16,19,848.608322,0.06895765658739952
16,22,2020.9092590000002,0.04890661284154195
17,6,0.0,0.361371
17,14,335.1670108597197,0.10539434351262311
17,16,1098.818407,0.022101381866767654
17,22,0.0,0.173992
18,10,1299.745069,0.15064354429958135
18,19,326.2823158597197,0.035226040561101936
18,21,737.787324,0.07914585877531362
19,11,0.0,0.372797
19,16,326.2823158597197,0.06924604789206258
19,18,848.608322,0.0559607753415395
19,22,0.0,0.181953
20,10,853.0380445419303,0.16951730576424665
20,21,1602.7397176639233,0.30464992060333684
20,30,627.3901101288022,0.18532930528889768
20,58,708.7326590429292,0.18803506883966228
21,18,258.656642,0.0796390606154821
21,20,1061.845675273042,0.28216904830636913
21,22,1480.1226779052868,0.10565146998737131
21,23,2572.886395967198,0.06707333220663635
22,14,418.68317145806924,0.1464386363978835
22,16,1482.8154899999995,0.0486914283456565
22,17,0.0,0.16739
22,19,0.0,0.177751
22,21,2536.633537019643,0.10582251922817049
22,23,0.0,0.178312
22,25,0.0,0.209962
22,28,0.0,0.259227
22,29,2888.5336149487493,0.09724735274149224
22,40,0.0,0.456892
23,21,415.8111014619659,0.06617407282655059
23,22,0.0,0.178258
23,24,3503.641025813868,0.03689172493923656
23,31,0.0,0.458553
24,23,2333.7304223975034,0.035828081503373244
24,25,3364.2418590000007,0.028042203444146145
24,26,3935.5802821039742,0.023891998461955503
24,33,3991.6804687466,0.2120578142465015
25,22,0.0,0.190037
25,24,1506.2869619999992,0.02676448388353485
25,26,0.0,0.060308
26,24,2240.231924928358,0.015705579256958594
26,25,0.0,0.056615
26,27,0.0,0.050181
26,28,3497.2572759351315,0.027294339425854814
27,26,1250.7373039380182,0.07235064320221235
27,28,628.8845028214962,0.04955698636893827
27,33,0.0,0.227875
27,35,0.0,0.461083
28,22,0.0,0.257355
28,26,2409.1265118214956,0.023291042395586593
28,27,0.0,0.048994
28,37,3497.2572759351315,0.11766088932158275
29,22,1161.8278279999995,0.09922439549850669
29,41,2008.929741948749,0.07945763437153015
29,49,0.0,0.862656
30,20,1158.7679659391688,0.18741041906691486
30,31,3451.285026254194,0.03289364851874422
30,60,415.2567549374307,0.11421489628535288
31,23,870.7902059111304,0.5285493376033039
31,30,679.6220233304061,0.03299882074093395
31,32,5185.603808739611,0.06518536812477875
31,60,0.0,0.176349
32,31,1105.2965887269575,0.06037024377210446
32,33,3701.367183122843,0.1655832929950515
32,34,6084.150313866257,0.09962618041939944
32,60,1674.1311417148625,0.11368827575780825
33,24,8233.028016505847,0.29533552914678046
33,27,1879.6218067595146,0.247102834430519
33,32,416.859503365813,0.09836342929740634
33,34,4048.7981351572494,0.070766993208409
34,32,2830.1866063197,0.02743239032148301
34,33,4705.825386918974,0.07439507671239293
34,35,3119.63964211612,0.13242708909262435
34,60,1917.2453603047813,0.14115986606145317
35,27,0.0,0.464692
35,34,1638.0531129999993,0.12920657740239655
35,36,3254.475077116119,0.09453835237325772
35,71,0.0,0.119188
36,35,821.0377699999998,0.09651807603511979
36,43,0.0,0.23694
36,44,3780.56452561765,0.11611355940679233
36,71,562.289671,0.2079277257212988
37,28,1780.2420090000005,0.12252686649276703
37,38,4309.506139935132,0.04994195430561408
37,42,0.0,0.169636
38,37,1945.9495619999998,0.05424890406214819
38,39,3615.183351999999,0.050428320380040685
38,42,2477.771333436663,0.08659010093746732
39,38,1894.5032835015302,0.048786350888167455
39,40,2344.506066000001,0.01878841421158995
39,48,2902.584524447217,0.2527732653350375
40,22,0.0,0.446617
40,39,2020.9870509487491,0.01986321164351524
40,41,2978.990068000001,0.05342843731918102
40,48,0.0,0.624606
41,29,2978.990068000001,0.08552594173996132
41,40,2008.929741948749,0.04957595446399053
41,49,0.0,0.573397
42,37,0.0,0.172289
42,38,1188.3535130000002,0.10107969771344008
42,43,300.24303050153065,0.08299299729612365
42,45,1200.9540329351323,0.08412525024484194
43,36,0.0,0.227668
43,42,250.248761,0.08694774986311865
43,44,918.8106815015308,0.06655602318763654
43,45,0.0,0.107891
44,36,1923.5696645015298,0.10746589694534428
44,43,948.5934420000001,0.06929194588473274
44,46,3353.9865666176497,0.046269800308330986
44,54,0.0,0.262186
45,42,245.65339100000008,0.08731003679944763
45,43,0.0,0.108835
45,46,1819.5216839351322,0.02694614068058959
45,47,0.0,0.076107
46,44,1606.5514959999998,0.04564816847188467
46,45,943.9980720000002,0.027527341092588208
46,47,2587.6973864616452,0.04072119726075068
46,54,1790.9140150911362,0.15758586958867596
47,45,0.0,0.081303
47,46,440.439573,0.040089821016003536
47,48,0.0,0.274471
47,74,2587.6973864616452,0.07884699743608609
48,39,858.8821599999998,0.25515075912119717
48,40,0.0,0.646177
48,47,0.0,0.269385
48,49,572.850574,0.24663969541508288
48,51,0.0,0.575118
48,52,1460.7017670000002,0.2510387285142293
48,53,882.2700769088635,0.2027950257491019
48,54,530.0460850000001,0.35541528341518813
48,74,440.439573,0.11147748553088614
49,29,0.0,0.877102
49,41,0.0,0.5831
49,48,660.6963319999999,0.24450752838001535
49,50,451.74699899999996,0.1871962110294853
49,73,0.0,0.249452
50,49,516.59241,0.18841536942867204
50,51,513.381987,0.2888159629457129
50,73,0.0,0.211827
51,48,0.0,0.570832
51,50,163.53194299999998,0.2940939718091363
51,52,1409.55251,0.22137840652201188
52,48,766.087366,0.24084821864273884
52,51,645.0070109999999,0.21239408623113518
52,53,290.712812,0.12430332303312308
53,48,239.76301299999997,0.20457233772630007
53,52,398.13014799999996,0.1247603796042842
53,54,334.20535599999994,0.20091149518635507
54,44,0.0,0.262637
54,46,1394.9901759999998,0.1539093092721858
54,48,236.65193499999998,0.361334881022775
54,53,78.66959309113665,0.20464507351121305
55,57,136.826753,0.1872756153683647
56,57,136.826753,0.15888652208473097
57,55,146.285293,0.18331478699065254
57,56,146.285293,0.16269169845345283
57,58,445.3937807196691,0.16243191153626435
57,59,653.9961412803311,0.26700209610754466
58,20,1288.0643326865447,0.1922099745680177
58,57,780.0294479999998,0.15844501084062287
58,59,299.3436759603885,0.13057984553113497
59,57,454.9638780000001,0.2638799524320337
59,58,728.9536668843352,0.13587903289519615
59,60,2542.9635093694133,0.16575683592549395
59,72,51.06139794404227,0.08085700569892053
60,30,1538.8631906715848,0.11787693157101656
60,31,0.0,0.179319
60,32,1952.8608860057966,0.11365948711337323
60,34,801.895433636074,0.20755478120853404
